,Ticker,Representative,Transaction,Amount,House,State,Party,Range,Date,OpenPrice,previous_seven_days,OpenPricePrevSevenDays,next_seven_days,OpenPriceNextSevenDays,previous_thirty_days,OpenPricePreviousThirtyDays,next_thirty_days,OpenPriceNextThirtyDays,previous_7_day_percent_change,next_7_day_percent_change,previous_30_day_percent_change,Next_12_days_present_percent_change,OpenPrice_spy,previous_seven_days_spy,OpenPricePrevSevenDays_spy,next_seven_days_spy,OpenPriceNextSevenDays_spy,previous_thirty_days_spy,OpenPricePrevThirtyDays_spy,next_thirty_days_spy,OpenPriceNextThirtyDays_spy,prev_7_days_spy_percent_change,next_7_days_spy_percent_change,prev_30_days_spy_percent_change,next_30_days_spy_percent_change
768,GOOG,Jerry Moran,Sale,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,2863,12/14/21,2895.4,12/28/21,2967.49,11/21/21,3000,1/2/22,2949.27,-0.011190164,0.036496682,-0.045666667,0.030132728,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
769,CMCSA,Jerry Moran,Purchase,1001,Senate,Kansas,Republican,"$1,001 - $15,000",12/21/21,48.63,12/14/21,46.29,12/28/21,50.47,11/21/21,53.45,1/2/22,50.02,0.050550875,0.037836726,-0.090177736,0.028583179,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
770,SMFG,Shelley Moore Capito,Sale,1001,Senate,West Virginia,Republican,"$1,001 - $15,000",12/28/21,6.82,12/21/21,6.72,1/4/22,6.99,11/28/21,6.98,1/9/22,6.81,0.014880952,0.024926686,-0.022922636,-0.001466276,477.72,12/20/21,454.48,1/3/22,476.3,11/29/21,464.07,1/7/22,467.95,0.051135363,-0.002972452,0.029413666,-0.02045131
771,AMGN,Shelley Moore Capito,Purchase,1001,Senate,West Virginia,Republican,"$1,001 - $15,000",12/15/21,214,12/8/21,212.89,12/22/21,220,11/15/21,210.69,12/27/21,223.81,0.00521396,0.028037383,0.015710285,0.045841121,463.42,12/8/21,468.7,12/21/21,458.61,11/16/21,467.15,12/28/21,477.72,-0.011265202,-0.010379354,-0.007984587,0.030857537
772,MSFT,Shelley Moore Capito,Sale,1001,Senate,West Virginia,Republican,"$1,001 - $15,000",12/17/21,320.88,12/10/21,334.98,12/24/21,328.3,11/17/21,338.94,12/29/21,341.3,-0.042092065,0.023123909,-0.053283767,0.063637497,461.55,12/10/21,469.23,12/23/21,468.75,11/18/21,469.24,12/30/21,477.93,-0.01636724,0.01559961,-0.016388202,0.035489113
773,C,Shelley Moore Capito,Sale,1001,Senate,West Virginia,Republican,"$1,001 - $15,000",12/17/21,60.27,12/10/21,61.68,12/24/21,59.31,11/17/21,67.66,12/29/21,60.81,-0.022859922,-0.015928323,-0.109222584,0.008959681,461.55,12/10/21,469.23,12/23/21,468.75,11/18/21,469.24,12/30/21,477.93,-0.01636724,0.01559961,-0.016388202,0.035489113
774,ECOM,Tommy Tuberville,Sale,1001,Senate,Alabama,Republican,"$1,001 - $15,000",12/23/21,24.93,12/16/21,24.76,12/30/21,25.24,11/23/21,25.71,1/4/22,24.44,0.006865913,0.012434817,-0.03033839,-0.019655034,468.75,12/16/21,472.57,12/30/21,477.93,11/24/21,466.06,1/5/22,477.16,-0.008083459,0.019584,0.005771789,0.017941333
775,BABA,Tommy Tuberville,Purchase,15001,Senate,Alabama,Republican,"$15,001 - $50,000",12/21/21,116.85,12/14/21,120.93,12/28/21,116.26,11/21/21,136.03,1/2/22,119.53,-0.033738526,-0.005049208,-0.140998309,0.022935387,458.61,12/14/21,463.09,12/28/21,477.72,11/22/21,470.89,1/3/22,476.3,-0.009674145,0.041669392,-0.026078277,0.03857308
776,ECOM,Tommy Tuberville,Sale,15001,Senate,Alabama,Republican,"$15,001 - $50,000",12/23/21,24.93,12/16/21,24.76,12/30/21,25.24,11/23/21,25.71,1/4/22,24.44,0.006865913,0.012434817,-0.03033839,-0.019655034,468.75,12/16/21,472.57,12/30/21,477.93,11/24/21,466.06,1/5/22,477.16,-0.008083459,0.019584,0.005771789,0.017941333
777,AAPL,Tommy Tuberville,Sale,50001,Senate,Alabama,Republican,"$50,001 - $100,000",12/22/21,173.04,12/15/21,175.11,12/29/21,179.33,11/22/21,161.68,1/3/22,177.83,-0.011821141,0.036349977,0.070262246,0.027681461,462.79,12/15/21,463.42,12/29/21,476.98,11/23/21,467.22,1/4/22,479.22,-0.001359458,0.030661855,-0.009481615,0.035502064
