,Ticker,Representative,Transaction,Amount,House,Range,Date,OpenPrice,previous_seven_days,OpenPricePrevSevenDays,next_seven_days,OpenPriceNextSevenDays,next_day,OpenPriceNextDay,next_2_day,OpenPriceNextDay2,next_3_day,OpenPriceNextDay3,next_4_day,OpenPriceNextDay4,next_5_day,OpenPriceNextDay5,next_6_day,OpenPriceNextDay6,next_7_day,OpenPriceNextDay7,next_seven_days_spy,OpenPriceNextSevenDays_spy,Stock_purchase_to_day1_perent_change,Stock_day1_to_day2_perent_change,Stock_day2_to_day3_perent_change,Stock_day3_to_day4_perent_change,Stock_day4_to_day5_perent_change,Stock_day5_to_day6_perent_change,Stock_day6_to_day7_perent_change,SPY_change_purchase_to_7_day
762,BK,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,57.16,12/14/21,56.18,12/28/21,58.39,12/22/21,57.85,12/23/21,58.18,12/24/21,59.68,12/25/21,60.87,12/26/21,56.68,12/27/21,58.2,12/28/21,58.39,12/28/21,477.72,0.012071379,0.005704408,0.025782056,0.019939678,-0.068835223,0.026817219,0.003264605,0.037133948
763,MSFT,Jerry Moran,Sale,1001,Senate,"$1,001 - $15,000",12/21/21,323.29,12/14/21,333.22,12/28/21,343.15,12/22/21,328.3,12/23/21,332.75,12/24/21,302.69,12/25/21,300.21,12/26/21,320.05,12/27/21,335.46,12/28/21,343.15,12/28/21,477.72,0.015496922,0.013554676,-0.090338092,-0.008193201,0.066087072,0.048148727,0.022923746,0.037133948
764,USB,Jerry Moran,Sale,1001,Senate,"$1,001 - $15,000",12/21/21,55.5,12/14/21,56.93,12/28/21,56.43,12/22/21,55.73,12/23/21,56.53,12/24/21,56.65,12/25/21,59.26,12/26/21,54.95,12/27/21,56.33,12/28/21,56.43,12/28/21,477.72,0.004144144,0.014354926,0.002122767,0.046072374,-0.072730341,0.02511374,0.001775253,0.037133948
765,FB,Jerry Moran,Sale,1001,Senate,"$1,001 - $15,000",12/21/21,326.41,12/14/21,328.05,12/28/21,346.63,12/22/21,333.8,12/23/21,330.1,12/24/21,314.81,12/25/21,234.97,12/26/21,329.78,12/27/21,338.85,12/28/21,346.63,12/28/21,477.72,0.022640238,-0.011084482,-0.046319297,-0.253613291,0.403498319,0.027503184,0.022960012,0.037133948
766,KR,Jerry Moran,Sale,1001,Senate,"$1,001 - $15,000",12/21/21,45.23,12/14/21,45.64,12/28/21,43.79,12/22/21,43.92,12/23/21,43.49,12/24/21,47.53,12/25/21,44.99,12/26/21,44.79,12/27/21,43.31,12/28/21,43.79,12/28/21,477.72,-0.028963078,-0.009790528,0.092894918,-0.053439933,-0.004445432,-0.03304309,0.011082891,0.037133948
767,VZ,Shelley Moore Capito,Sale,1001,Senate,"$1,001 - $15,000",12/28/21,52.63,12/21/21,53.26,1/4/22,52.64,12/29/21,52.77,12/30/21,52.38,12/31/21,52.2,1/1/22,53.52,1/2/22,52.73,1/3/22,52.07,1/4/22,52.64,1/3/22,476.3,0.00266008,-0.007390563,-0.003436426,0.025287356,-0.014760837,-0.012516594,0.010946802,-0.020576907
768,GOOG,Jerry Moran,Sale,1001,Senate,"$1,001 - $15,000",12/21/21,2863,12/14/21,2895.4,12/28/21,2967.49,12/22/21,2882,12/23/21,2941.79,12/24/21,2910.88,12/25/21,2860.34,12/26/21,2813.59,12/27/21,2949.27,12/28/21,2967.49,12/28/21,477.72,0.006636395,0.02074601,-0.010507208,-0.017362447,-0.016344211,0.048223089,0.0061778,0.037133948
769,CMCSA,Jerry Moran,Purchase,1001,Senate,"$1,001 - $15,000",12/21/21,48.63,12/14/21,46.29,12/28/21,50.47,12/22/21,48.78,12/23/21,49.37,12/24/21,50.79,12/25/21,49.16,12/26/21,48.25,12/27/21,50.02,12/28/21,50.47,12/28/21,477.72,0.003084516,0.012095121,0.028762406,-0.032092932,-0.018510985,0.036683938,0.008996401,0.037133948
770,SMFG,Shelley Moore Capito,Sale,1001,Senate,"$1,001 - $15,000",12/28/21,6.82,12/21/21,6.72,1/4/22,6.99,12/29/21,6.81,12/30/21,6.82,12/31/21,6.74,1/1/22,7.28,1/2/22,6.69,1/3/22,6.83,1/4/22,6.99,1/3/22,476.3,-0.001466276,0.001468429,-0.011730205,0.080118694,-0.081043956,0.020926756,0.023426061,-0.020576907
771,AMGN,Shelley Moore Capito,Purchase,1001,Senate,"$1,001 - $15,000",12/15/21,214,12/8/21,212.89,12/22/21,220,12/16/21,220,12/17/21,222.69,12/18/21,226.26,12/19/21,222.12,12/20/21,222.25,12/21/21,220.55,12/22/21,220,12/21/21,458.61,0.028037383,0.012227273,0.016031254,-0.018297534,0.000585269,-0.007649044,-0.002493766,0.018643995
772,MSFT,Shelley Moore Capito,Sale,1001,Senate,"$1,001 - $15,000",12/17/21,320.88,12/10/21,334.98,12/24/21,328.3,12/18/21,335.71,12/19/21,320.88,12/20/21,320.05,12/21/21,323.29,12/22/21,328.3,12/23/21,332.75,12/24/21,328.3,12/23/21,468.75,0.046216654,-0.044175032,-0.002586637,0.010123418,0.015496922,0.013554676,-0.013373403,0.033430831
773,C,Shelley Moore Capito,Sale,1001,Senate,"$1,001 - $15,000",12/17/21,60.27,12/10/21,61.68,12/24/21,59.31,12/18/21,61.1,12/19/21,60.27,12/20/21,58.6,12/21/21,58.74,12/22/21,59.31,12/23/21,59.99,12/24/21,59.31,12/23/21,468.75,0.013771362,-0.013584288,-0.027708644,0.002389078,0.009703779,0.011465183,-0.011335223,0.033430831
774,ECOM,Tommy Tuberville,Sale,1001,Senate,"$1,001 - $15,000",12/23/21,24.93,12/16/21,24.76,12/30/21,25.24,12/24/21,24.76,12/25/21,22.95,12/26/21,23.16,12/27/21,24.84,12/28/21,25.13,12/29/21,25.13,12/30/21,25.24,12/30/21,477.93,-0.006819093,-0.073101777,0.009150327,0.07253886,0.011674718,0,0.004377238,0.022336
775,BABA,Tommy Tuberville,Purchase,15001,Senate,"$15,001 - $50,000",12/21/21,116.85,12/14/21,120.93,12/28/21,116.26,12/22/21,117.09,12/23/21,116.8,12/24/21,118.5,12/25/21,117.8,12/26/21,116.26,12/27/21,117.8,12/28/21,116.26,12/28/21,477.72,0.002053915,-0.002476727,0.014554795,-0.005907173,-0.013073005,0.013246172,-0.013073005,0.037133948
776,ECOM,Tommy Tuberville,Sale,15001,Senate,"$15,001 - $50,000",12/23/21,24.93,12/16/21,24.76,12/30/21,25.24,12/24/21,24.34,12/25/21,24.93,12/26/21,23.16,12/27/21,24.84,12/28/21,25.13,12/29/21,25.13,12/30/21,25.24,12/30/21,477.93,-0.023666266,0.024239934,-0.070998797,0.07253886,0.011674718,0,0.004377238,0.022336
777,AAPL,Tommy Tuberville,Sale,50001,Senate,"$50,001 - $100,000",12/22/21,173.04,12/15/21,175.11,12/29/21,179.33,12/23/21,175.85,12/24/21,175.85,12/25/21,168.28,12/26/21,177.09,12/27/21,177.09,12/28/21,180.16,12/29/21,179.33,12/29/21,476.98,0.01623902,0,-0.043048052,0.052353221,0,0.017335818,-0.004607016,0.029192506
